,site.latitude (deg),site.longitude (deg),dri_grid_feedstock.price (USD/MW/h),hydrogen_feedstock.price (USD/kg),finance_subgroup_sponge_iron.LCOS (USD/kg)
278,39.278,-90.671,54.72249003,7.113773227,0.7421070634669771
279,46.537,-85.52,55.19269964,7.177562644,0.7460033583253058
280,40.892,-89.516,62.14196475,7.674201752,0.776690135837748
281,44.93,-73.509,64.45930269,9.723615855,0.9005014164144892
282,45.172,-91.701,60.65322488,8.038204684,0.798477365301218
283,41.191,-87.728,57.38612252,7.06732817,0.7395917328515644
284,42.979,-97.867,51.65670861,7.163428262,0.744772911091273
285,44.775,-88.939,61.88150607,7.725587266,0.7797604119659725
286,45.032,-94.666,50.28776304,6.973067478,0.7331492277639162
287,43.964,-96.675,51.28051515,6.807031666,0.7232447853564952
288,40.354,-94.908,49.11599127,6.19981146,0.6864026853306547
289,44.544,-94.523,53.26763232,7.57847474,0.7699692417827259
290,38.931,-91.97,53.94683017,7.008936062,0.7357032405420111
291,41.453,-73.717,58.71329139,8.784280838,0.8432523087937187
292,40.27,-85.678,56.73799632,7.585260303,0.7707495932846145
293,43.489,-73.271,75.25988245,10.63583426,0.9566563111735362
294,41.556,-81.317,60.49616966,8.819655179,0.8455758207070688
295,39.044,-92.528,55.10917389,7.236472093,0.7495461950381527
296,46.046,-88.944,55.45098741,6.78852232,0.7225749476431884
297,41.013,-79.969,61.61168839,8.743873589,0.8411261235418891
298,40.552,-95.483,48.39441865,6.082976563,0.6792812803753798
299,39.52,-87.656,56.42082044,7.317487784,0.7545711085610092
300,46.499,-96.705,51.79891083,7.207889097,0.7474687580212025
301,41.56,-84.578,55.09470261,7.335645137,0.7555239936073608
302,44.843,-95.755,48.88431645,6.722463769,0.7178896840133454
303,43.462,-93.792,47.5891969,6.457598574,0.7017818740576727
304,45.873,-89.439,58.84717603,7.206161134,0.7481185511110032
305,39.944,-76.301,63.07089347,9.351633593,0.8779253188847445
306,39.134,-80.863,67.01406677,9.966855156,0.9154401049977359
307,38.582,-93.815,50.90998771,7.030631959,0.736686469978015
308,42.32,-77.663,67.35604707,9.898108305,0.9113317988158754
309,40.177,-91.172,53.1436774,6.748893793,0.7199388419692807
310,42.503,-88.451,52.97420397,6.506614488,0.7053131957070897
311,42.973,-93.659,46.48919889,6.291868391,0.6916719904596582
312,39.938,-90.043,54.38222059,6.872969341,0.7275521026512097
313,42.941,-92.158,51.24178957,6.592920484,0.7103314396280556
314,40.973,-78.796,56.11705325,8.274484019,0.8122378831016441
315,41.816,-86.757,53.74173861,7.171169685,0.74546269973643
316,46.774,-93.505,56.85097302,7.246789267,0.7503545644972252
317,42.291,-93.685,49.49236734,6.246625324,0.689265451541666
318,40.63,-93.6,51.4682303,6.430565617,0.7005669541730378
319,46.3,-94.637,54.87449895,7.381366827,0.7582570923569174
320,45.891,-93.227,55.80173944,7.380083862,0.7582789296494251
321,45.331,-95.91,48.2068868,6.449493262,0.7013592644113263
322,45.66,-84.253,54.06470461,7.827605336,0.7850751027202115
323,43.238,-74.916,62.24761325,9.346468714,0.8775258487917081
324,40.734,-85.311,54.73235651,7.161730608,0.744999567961564
325,41.714,-85.292,55.07525106,7.11713852,0.7423476998756815
326,38.277,-84.162,58.07549708,8.77107947,0.8423881442875734
327,38.827,-82.643,65.57798244,9.971839715,0.9155870117565512
328,44.072,-90.861,60.94708597,7.83379302,0.7861844013066761
329,41.864,-86.008,57.51742888,7.26196297,0.7513407111510932
330,39.863,-82.138,65.34105223,9.278515235,0.87375970899581
331,44.355,-95.604,51.49292498,7.032357099,0.7368528408825172
332,43.922,-92.401,49.94659706,6.649830555,0.7136241138543264
333,38.881,-94.228,49.43947066,6.58868584,0.7098833244066263
334,42.211,-95.766,51.00851576,6.856165909,0.72617809318353
335,39.919,-92.338,53.14670509,6.746377424,0.7197874487930742
336,42.589,-94.122,48.67682821,6.458336743,0.7019427271923548
337,41.118,-74.137,62.9772836,9.872371545,0.9093116663006396
338,42.359,-89.512,52.49509336,6.383988351,0.6978685619309271
339,46.684,-90.148,60.34653131,8.55614353,0.8296721546181148
340,43.792,-85.536,60.83628514,7.761170573,0.7817939920288037
341,41.782,-78.122,62.30137579,10.03281728,0.9189129653297865
342,41.789,-75.26,61.67241257,9.203997056,0.8688744087118557
343,46.012,-95.276,50.37045546,6.89678815,0.7285590362096196
344,41.409,-79.123,64.95776393,9.117061684,0.8639843410647827
345,40.236,-82.929,62.17173456,8.916182515,0.851574892693888
346,43.405,-76.097,63.18180437,9.3451845,0.8775483543105161
347,40.937,-97.37,45.35458674,6.249774929,0.6890127160399917
348,43.863,-97.284,48.39360588,6.682949777,0.7154548113573005
349,42.465,-78.833,63.26312393,9.273639324,0.8732434476488549
350,38.64,-84.945,63.95457223,9.431226985,0.882818697991363
351,44.806,-92.658,52.68417683,7.07849464,0.73976200006539
352,43.201,-91.085,58.00906861,7.515163462,0.7666592813810558
353,44.3,-91.917,70.00219894,9.262324853,0.8732821754064202
354,40.22,-81.77,63.89440456,9.060840296,0.860480887094223
355,45.703,-93.708,54.40349939,7.163855677,0.7450925138376936
356,45.523,-95.126,50.75593186,7.025134663,0.7363385468577279
357,45.036,-95.288,48.32363293,6.847637808,0.7253767059244511
358,45.067,-84.214,56.94569167,7.599247448,0.7716151248358165
359,39.513,-83.649,57.07190327,8.37153933,0.8181916906043606
360,46.638,-91.752,67.80634074,9.248615135,0.8722206903439396
361,40.967,-91.404,51.19665665,6.631656275,0.7126620720505905
362,42.695,-97.11,47.29014174,6.582336603,0.7092705952544859
363,46.317,-86.678,50.57965136,7.544514147,0.7676341459041081
364,39.278,-85.55,55.89197093,8.15175868,0.8048144424536288
365,45.259,-87.002,49.62045856,6.510959335,0.7052163945598875
366,45.913,-83.725,51.24562465,7.70481277,0.7773701205726504
367,38.913,-91.406,53.51277698,6.99251437,0.7346667109256176
368,43.752,-90.126,58.17486708,7.480069934,0.7645611564600783
369,42.273,-83.698,59.51879534,7.848759416,0.7869339672465205
370,46.579,-86.154,52.16176311,6.74815459,0.7197892353811075
371,43.512,-89.086,53.08676303,6.555966767,0.7083007868230882
372,46.882,-97.672,54.72822143,7.311370944,0.7540212489645384
373,39.654,-93.636,52.84914185,6.944222999,0.7316841337586188
374,39.467,-94.212,49.59645265,6.53611718,0.706730644741386
375,40.352,-97.358,45.87327388,6.328504641,0.6938149777806223
376,42.185,-86.404,53.67053907,6.96028005,0.7327401138528323
377,42.678,-82.712,59.293167,7.863727837,0.7878123079194763
378,41.021,-86.58,57.99460763,7.460631271,0.7633698765928769
379,44.356,-74.359,63.027739,8.724613161,0.8401163522350437
380,39.575,-84.355,63.9630875,9.083828952,0.8618742676370229
381,38.941,-86.313,57.9367619,8.218327762,0.809046767043853
382,38.795,-90.851,56.47505749,7.80326198,0.7838652349416784
383,41.65,-88.996,54.4868131,6.556921721,0.708508130807406
384,42.068,-84.783,54.82294334,7.368488436,0.7574751126315569
385,39.351,-81.961,64.90445536,9.70671627,0.8995301251171802
386,38.64,-76.265,55.33259958,8.793166527,0.843426401798612
387,40.553,-96.35,47.21201016,6.356493488,0.695645691791837
388,43.756,-75.045,58.98597819,8.109630961,0.8026054515870469
389,46.087,-89.891,57.78876615,7.108559568,0.7421207306416365
390,40.001,-91.759,53.11153762,6.696516745,0.7167774840229554
